iter	Passed	Remaining
245	389	1192
246	390	1191
247	392	1189
248	393	1187
249	395	1186
250	396	1184
251	398	1182
252	399	1180
253	401	1178
254	402	1176
255	404	1175
256	405	1173
257	407	1171
258	408	1169
259	410	1167
260	411	1165
261	413	1163
262	414	1162
263	416	1161
264	418	1159
265	419	1157
266	421	1156
267	423	1155
268	424	1153
269	426	1151
270	427	1149
271	429	1148
272	430	1146
273	432	1144
274	433	1143
275	435	1141
276	436	1139
277	438	1138
278	439	1136
279	441	1134
280	442	1133
281	444	1131
282	446	1129
283	447	1128
284	449	1126
285	450	1125
286	452	1123
287	453	1121
288	455	1119
289	456	1118
290	458	1116
291	459	1114
292	461	1112
293	462	1111
294	464	1111
295	467	1110
296	469	1110
297	471	1110
298	473	1109
299	474	1108
300	476	1106
301	478	1106
302	480	1105
303	482	1105
304	485	1105
305	487	1104
306	488	1103
307	490	1102
308	492	1101
309	494	1101
310	496	1100
311	498	1098
312	500	1097
313	502	1097
314	504	1097
315	508	1100
316	510	1100
317	512	1098
318	514	1097
319	516	1096
320	517	1095
321	520	1095
322	522	1095
323	525	1096
324	526	1094
325	528	1093
326	530	1091
327	531	1089
328	533	1088
329	535	1088
330	539	1089
331	541	1089
332	543	1088
333	544	1086
334	546	1085
335	548	1083
336	550	1082
337	552	1082
338	555	1082
339	557	1081
340	559	1081
341	561	1079
342	562	1077
343	564	1076
344	566	1075
345	568	1074
346	570	1073
347	572	1073
348	574	1072
349	576	1070
350	578	1068
351	579	1067
352	581	1066
353	583	1065
354	586	1064
355	588	1063
356	590	1062
357	592	1061
358	593	1059
359	595	1058
360	597	1057
361	599	1056
362	601	1055
363	603	1054
364	605	1053
365	607	1052
366	609	1050
367	610	1048
368	612	1047
369	614	1046
370	616	1045
371	618	1043
372	620	1042
373	622	1041
374	624	1040
375	626	1039
376	628	1038
377	630	1037
378	632	1035
379	633	1033
380	635	1032
381	637	1031
382	639	1029
383	641	1028
384	643	1028
385	645	1026
386	647	1024
387	648	1023
388	650	1022
389	652	1020
390	654	1019
391	656	1018
392	658	1017
393	660	1015
394	661	1013
395	663	1011
396	665	1010
397	666	1008
398	668	1006
399	669	1004
400	671	1002
401	674	1003
402	676	1001
403	677	1000
404	679	998
405	681	996
406	682	994
407	684	992
408	686	991
409	688	990
410	689	988
411	691	987
412	693	985
413	694	983
414	696	981
415	697	979
416	699	977
417	701	976
418	702	974
419	704	972
420	705	970
421	707	968
422	708	966
423	710	964
424	711	963
425	713	961
426	714	959
427	716	958
428	718	956
429	720	955
430	722	953
431	724	952
432	725	950
433	727	948
434	728	946
435	730	944
436	731	942
437	733	940
438	734	939
439	736	937
440	738	935
441	739	933
442	741	932
443	742	930
444	744	928
445	746	926
446	747	925
447	749	923
448	750	921
449	752	919
450	754	918
451	755	916
452	757	914
453	758	912
454	760	910
455	762	909
456	763	907
457	765	905
458	766	903
459	768	902
460	770	900
461	771	898
462	773	896
463	774	895
464	776	893
465	778	891
466	779	889
467	781	888
468	782	886
469	784	884
470	786	883
471	787	881
472	789	879
473	791	877
474	792	876
475	794	874
476	796	873
477	798	871
478	799	869
479	801	868
480	802	866
481	804	864
482	805	862
483	807	860
484	809	859
485	810	857
486	812	855
487	813	853
488	815	852
489	816	850
490	818	848
491	820	846
492	821	845
493	823	843
494	824	841
495	826	839
496	828	838
497	829	836
498	831	834
499	832	832
500	834	830
501	835	829
502	837	827
503	838	825
504	840	824
505	842	822
506	843	820
507	845	818
508	847	817
509	848	815
510	850	813
511	852	812
512	853	810
513	855	809
514	857	807
515	859	805
516	860	804
517	863	803
518	865	801
519	866	800
520	868	798
521	869	796
522	871	795
523	873	793
524	875	791
525	876	790
526	878	788
527	880	786
528	881	785
529	883	783
530	885	781
531	886	780
532	888	778
533	890	777
534	892	775
535	893	773
536	895	772
537	897	770
538	898	768
539	900	766
540	901	765
541	903	763
542	904	761
543	906	759
544	907	757
545	909	756
546	910	754
547	912	752
548	913	750
549	915	748
550	916	747
551	918	745
552	920	744
553	922	742
554	923	740
555	925	739
556	927	737
557	928	735
558	930	733
559	931	732
560	933	730
561	934	728
562	936	726
563	937	725
564	939	723
565	940	721
566	942	719
567	944	717
568	945	716
569	947	714
570	948	712
571	950	711
572	952	709
573	953	707
574	955	705
575	956	704
576	958	702
577	959	700
578	961	698
579	962	697
580	964	695
581	965	693
582	967	692
583	969	690
584	970	688
585	972	686
586	973	685
587	975	683
588	976	681
589	978	679
590	980	678
591	981	676
592	983	674
593	984	673
594	986	671
595	987	669
596	989	667
597	991	666
598	992	664
599	994	663
600	996	661
601	998	660
602	999	658
603	1001	656
604	1003	654
605	1004	653
606	1006	651
607	1007	649
608	1009	647
609	1011	646
610	1012	644
611	1014	642
612	1015	641
613	1017	639
614	1018	637
615	1020	636
616	1022	634
617	1023	632
618	1025	631
619	1026	629
620	1028	627
621	1029	625
622	1031	624
623	1033	622
624	1034	620
625	1037	619
626	1039	618
627	1041	617
628	1043	615
629	1045	614
630	1047	612
631	1049	610
632	1050	609
633	1052	607
634	1053	605
635	1055	604
636	1056	602
637	1058	600
638	1059	598
639	1061	597
640	1063	595
641	1064	593
642	1066	592
643	1067	590
644	1069	588
645	1070	586
646	1072	585
647	1073	583
648	1075	581
649	1076	579
650	1078	578
651	1080	576
652	1081	574
653	1083	573
654	1084	571
655	1086	569
656	1087	567
657	1089	566
658	1090	564
659	1092	562
660	1093	560
661	1095	559
662	1096	557
663	1098	555
664	1099	554
665	1101	552
666	1102	550
667	1104	548
668	1105	547
669	1107	545
670	1109	543
671	1110	542
672	1112	540
673	1113	538
674	1115	536
675	1116	535
676	1117	533
677	1119	531
678	1121	530
679	1122	528
680	1124	526
681	1126	525
682	1128	523
683	1129	521
684	1131	520
685	1133	518
686	1134	517
687	1136	515
688	1138	513
689	1140	512
690	1141	510
691	1143	508
692	1144	507
693	1146	505
694	1147	503
695	1149	501
696	1150	500
697	1152	498
698	1153	496
699	1155	495
700	1157	493
701	1158	491
702	1160	490
703	1161	488
704	1163	486
705	1165	485
706	1167	483
707	1168	481
708	1170	480
709	1171	478
710	1173	476
711	1175	475
712	1176	473
713	1178	472
714	1180	470
715	1181	468
716	1183	466
717	1184	465
718	1186	463
719	1188	462
720	1189	460
721	1192	458
722	1193	457
723	1195	455
724	1197	454
725	1198	452
726	1200	450
727	1201	448
728	1203	447
729	1204	445
730	1206	444
731	1208	442
732	1209	440
733	1211	439
734	1213	437
735	1214	435
736	1216	433
737	1217	432
738	1219	430
739	1221	429
740	1223	427
741	1224	425
742	1226	424
743	1228	422
744	1229	420
745	1231	419
746	1232	417
747	1234	415
748	1236	414
749	1237	412
750	1239	410
751	1241	409
752	1242	407
753	1244	406
754	1246	404
755	1248	402
756	1249	401
757	1251	399
758	1253	397
759	1254	396
760	1256	394
761	1258	392
762	1259	391
763	1261	389
764	1263	388
765	1264	386
766	1266	384
767	1268	383
768	1269	381
769	1271	379
770	1273	378
771	1274	376
772	1276	374
773	1277	373
774	1279	371
775	1281	369
776	1282	368
777	1284	366
778	1285	364
779	1287	363
780	1288	361
781	1290	359
782	1292	358
783	1293	356
784	1295	354
785	1296	353
786	1298	351
787	1299	349
788	1301	347
789	1303	346
790	1304	344
791	1306	343
792	1308	341
793	1309	339
794	1311	338
795	1312	336
796	1314	334
797	1315	333
798	1317	331
799	1319	329
800	1320	328
801	1322	326
802	1324	324
803	1325	323
804	1327	321
805	1329	319
806	1330	318
807	1332	316
808	1333	314
809	1335	313
810	1337	311
811	1339	310
812	1340	308
813	1342	306
814	1343	305
815	1345	303
816	1346	301
817	1348	300
818	1350	298
819	1351	296
820	1353	295
821	1354	293
822	1356	291
823	1357	289
824	1359	288
825	1360	286
826	1362	285
827	1364	283
828	1366	281
829	1368	280
830	1370	278
831	1372	277
832	1374	275
833	1376	273
834	1377	272
835	1379	270
836	1380	268
837	1382	267
838	1383	265
839	1385	263
840	1386	262
841	1388	260
842	1390	258
843	1392	257
844	1393	255
845	1395	254
846	1396	252
847	1398	250
848	1399	248
849	1401	247
850	1403	245
851	1404	243
852	1406	242
853	1407	240
854	1409	239
855	1412	237
856	1414	236
857	1416	234
858	1417	232
859	1419	231
860	1420	229
861	1422	227
862	1424	226
863	1425	224
864	1427	222
865	1429	221
866	1430	219
867	1432	217
868	1433	216
869	1435	214
870	1437	212
871	1438	211
872	1440	209
873	1441	207
874	1443	206
875	1444	204
876	1446	202
877	1447	201
878	1449	199
879	1451	197
880	1452	196
881	1453	194
882	1455	192
883	1457	191
884	1458	189
885	1460	187
886	1461	186
887	1463	184
888	1464	182
889	1466	181
890	1467	179
891	1469	177
892	1470	176
893	1472	174
894	1473	172
895	1475	171
896	1476	169
897	1478	167
898	1480	166
899	1481	164
900	1483	162
901	1484	161
902	1486	159
903	1488	158
904	1490	156
905	1492	154
906	1493	153
907	1495	151
908	1497	149
909	1498	148
910	1500	146
911	1501	144
912	1503	143
913	1504	141
914	1506	139
915	1508	138
916	1510	136
917	1512	135
918	1513	133
919	1515	131
920	1516	130
921	1518	128
922	1520	126
923	1521	125
924	1523	123
925	1525	121
926	1526	120
927	1528	118
928	1529	116
929	1531	115
930	1532	113
931	1534	111
932	1535	110
933	1537	108
934	1539	106
935	1540	105
936	1542	103
937	1543	102
938	1545	100
939	1546	98
940	1548	97
941	1550	95
942	1551	93
943	1553	92
944	1554	90
945	1556	88
946	1557	87
947	1559	85
948	1560	83
949	1562	82
950	1564	80
951	1565	78
952	1567	77
953	1569	75
954	1570	74
955	1572	72
956	1573	70
957	1575	69
958	1576	67
959	1578	65
960	1580	64
961	1581	62
962	1583	60
963	1584	59
964	1586	57
965	1587	55
966	1589	54
967	1591	52
968	1592	50
969	1594	49
970	1595	47
971	1597	46
972	1599	44
973	1600	42
974	1602	41
975	1603	39
976	1605	37
977	1606	36
978	1608	34
979	1609	32
980	1611	31
981	1612	29
982	1614	27
983	1615	26
984	1617	24
985	1618	22
986	1620	21
987	1621	19
988	1623	18
989	1625	16
990	1627	14
991	1628	13
992	1630	11
993	1631	9
994	1633	8
995	1634	6
996	1636	4
997	1638	3
998	1639	1
999	1641	0
